Title,Ingredients,Steps,URL
Beef Teriyaki,300 gr Daging Sapi (iris tipis-tipis)--3 Sium Bawang Putih--1 Cm Jahe--2 Sendok Makan Kecap Manis--4 Sendok Makan Saus Teriyaki--3 Sendok Makan Minyak Wijen--secukupnya Gula--Secukupnya garam--1/2 Sendok Makan Blackpeper--3 Sendok Makan Mentega--1 Sium Bawang Bombai (diiris sesuai selera)--,"Haluskan Bawang Putih dan Jahe--Masukan Daging Sapi kedalam mangkuk, campurkan bawang putih dan jahe yang telah dihaluskan, kecap manis, saus teriyaki, minyak wijen, gula, garam, black peper, lalu aduk hingga rata dan diamkan sekitar 30 menit - 1 jam supaya bumbu meresap.--Panaskan mentega menggunakan api kecil dan masukan daging yang sudah dicampur bumbu, apabila daging sudah setengah matang masukan 1/2 bawang bombai haduk hingga merata. Setelah daging matang dan bumbu mersap masukan 1/2 bawang bombai aduk hingga merata. Dan tiriskan--Selamat mencoba😊--",/id/resep/3494494-beef-teriyaki
Tahu gulung,4 buah tahu putih--Daun singkong--1 siung bawang putih--2 siung bawang merah--Secukupnya garam--Secukupnya gula--1 butir telur--2 sdm tepung terigu--2 buah cabai merah besar--1 lembar daun pisang--,"Rebus daun singkong hingga matang dan panaskan dandang untuk mengukus.--Hancurkan tahu dan haluskan bawang merah, bawang putih, garam, dan gula.--Campurkan tahu dengan bumbu halus dan irisan cabai merah. Kemudian tambahkan telur dan tepung terigu. Aduk rata.--Bersihkan daun pisang dan letakkan sebagai alas.--Susun daun singkong di atas daun pisang. Sesuaikan panjang dan lebarnya dengan banyaknya adonan tahu.--Letakkan adonan tahu di atas daun singkong, ratakan.--Kemudian gulung daun singkong dan tahu (seperti menggulung sushi). Lalu bungkus dengan daun pisang dan dikukus kurang lebih 15 menit.--Setelah matang, tunggu hingga dingin, kemudian buka bungkusan daun pisangnya dan iris2 tahu gulung sesuai selera.--) Note: daun singkong bisa juga diganti dengan bayam.--",/id/resep/4346823-tahu-gulung
Kroket telur daging sayuran,"200 gr daging sapi giling--1 btr bawang bombai cincang--3 btr bawang putih cincang--2 btg daun bawang--2 bh wortel, serut--3 bh kentang, serut--8 buah telur ayam--Keju (optional)--2 btr telur (kocok lepas)--1 bks tepung panir,--","Panaskan minyak makan kira2 aja, tumis bawang bombay, dan bawang putih sampai Wangi.--Masukkan daging giling, aduk sampai berubah warna, masukkan wortel dan kentang. Aduk sampai layu...--Tambahkan gula, garam, merica bubuk. Aduk rata tes rasa, matikan api.--Jika sdh dingin, tambahkan telur--Aduk rata--Masukkan dlm cetakan. Kukus kurleb 1 0 menit. Sampai padat, dan naik.--Keluarkan dri cetakan. Potong2 sesuai selera.--Celup pada kocokan telur, gulingkan di tepung panir.--Goreng sampai keemasan.--Tips : jika menggunakan cetakan kecil2, akan lebih Bagus bentuknya, dan lebih lekas masak saat dikukus, usahakn semua sama besar, agar masaknua merata.--",/id/resep/3905980-kroket-telur-daging-sayuran
Tumis Tahu Sawi Putih,1 Sawi--6 Tahu Kuning--5 Siung Bawang Merah--3 Siung Bawang Putih--5 Cabai Merah Keriting--3 Cabai Rawit--Secukupnya Garam--Secukupnya Gula--Secukupnya Lada Putih--Secukupnya Saori Saus Tiram--,"Potong dadu tahu lalu goreng hingga matang.--Tumis bawang merah, bawang putih dan cabai. Masukan tahu lalu sawi. Tambahkan garam, gula, lada, saori saos tiram. Koreksi rasa. Masak hingga matang.--",/id/resep/4250083-tumis-tahu-sawi-putih
Daging sapi tumis,1/4 kg daging sapi (bisa kambing atau ayam)--5 sdm perasan air asam jawa--3 sdm air gula aren yg dilarutkan--Secukupnya air--1 Batang sereh memarkan--2 lembar daun salam--2 lembar daun jeruk--Bumbu halus--1 ruas jahe--1 ruas lengkuas--1 ruas kunyit--6 siung bawang putih--4 siung bawang merah--1 buah cabe merah besar buang bijinya--Cabe rawit sesuai selera (boleh pake boleh juga nggak)--1/4 sdt merica bubuk--1/4 sdt lada bubuk--1/4 sdt ketumbar bubuk--Garam dan bumbu penyedap rasa daging--secukupnya Kecap--Secukupnya minyak untuk menumis--,"Potong2 daging ukuran sesuai selera (klu saya dipotong kotak kecil agar bumbu meresap) lalu cuci bersih--Masukkan daging dalam panci campurkan air asam Jawa.gula aren yang sudah di larutkan dan garam secukupnya tambahkan air hingga daging agak tenggelam. Masak sampai air rebusannya habis atau tinggal sedikit (supaya empuk)--Siapkan bumbu halus ulek semua bumbu halus bisa juga di blender (lebih enak di ulek 😀)--Jika rebusan daging sudah matang sisihkan.. Siapkan wajan untuk menumis. Beri minyak goreng secukupnya masukkan bumbu halus, sereh yg dimemarkan, daun salam serta daun jeruk tumis hingga Wangi tambahkan bumbu penyedap rasa daging, garam dan kecap tambahkan air koreksi rasa--Jika bumbu sudah matang masukkan daging dan tumis hingga bumbu meresap..--Angkat dan sajikan bersama lontong atau nasi hangat--",/id/resep/3300587-daging-sapi-tumis
Teriyaki udang,1 cup udang kupas 1/2 matang--1 butir telur ayam negeri--1 butir bawang bombay kecil bersihkan potong kasar--1 bungkus sauri saos teriyaki--1 buah wortel bersihkan potong dadu--secukupnya Cabe rawit--secukupnya Air--Minyak secukupnya untuk menumis--,"Iris iris bahan, kecuali udang dan telur--Panaskan minyak, tumis bawang bombay sampai tercium bau harum, aduk, masukkan wortel, tumis sampai sedikit layu, aduk, masukkan telur, orak arik telur sampai matang, aduk, masukkan udang aduk sampai udang matang, masukkan irisan cabe--Tambahkan saos teriyaki, aduk sampai rata, tambahkan air, aduk sebentar, diamkan sampai air hampir habis, aduk lagi, matikan.--Sajikan dengan nasi hangat.. Sedaaaaap--",/id/resep/4060878-teriyaki-udang
Potato beef and mayo,1 butir telur (kuning dan putih dipisah)--1 bawang putih--2 kentang potong pajang--1/4 bawang bombay--1 sdm mentega--1 sdm air jeruk--1 sdm mayones--1 bungkus beef atau kornet--secukupnya lada--secukupnya garam--,"Rebus bawang bombay dan kentang--Lalu tiriskan--Ulek halus bawang putih lalu panaskan wajan masukan mentega,bawang putih,kuning telur, air jeruk, beef atau kornet, lada dan garam--Lalu tarus kentang dan bawang bombai, lumuri diatas bumbu tadi, oleskan putih telur--Kukus di rice cooker selama 1 jam--",/id/resep/3872945-potato-beef-and-mayo
Tahu Cabe Garam,1 Bungkus Tahu Kuning Bandung--1 Bungkus Tepung Bumbu--6 Tangkai Sayur Sawi--4 Siung Cabai Rawit Merah--3 Siung Bawang Merah--3 Siung Bawang Putih--1 Tangkai Daun Bawang--Saaus Tiram--Minyak--Air--,"Potong dadu tahu, dan balut dengan tepung bumbu. Dan kemudian goreng hingga kering. Sisihkan.--Tumis irisan duo bawang dan cabai. Jika sudah harum, masukkan gula, garam dan sedikit saus tiram. Kemudian tambahkan air sedikit.--Masukkan sayur sawi, masak hingga air tersisa sedikit. Masak dengan api sedang cenderung kecil.--Kemudian masukkan tahu dan irisan daun bawang. Masak hingga bumbu meresap.--Angkat dan sajikan dengan nasi hangat--",/id/resep/4199827-tahu-cabe-garam
Ikan mas asam manis,"1 ekor ikan mas ukuran sedang--1 siung bawang putih digeprek--Bahan marinasi ikan:--Air jeruk nipis dari 1/2 jeruk nipis--1 sdt Garam--1/2 sdm Bawang putih parut--Bumbu asam manis:--1 buah wortel potong kecil memanjang--1 siung bawang merah besar/bawang Bombay iris tipis--1 sdt saus tiram--1 sdt kecap manis--2 sdm saus tomat(sesuai selera)--1 lembar daun salam--1 batang sereh ukuran kecil, digeprek--1 cabe merah buang bijinya--1 batang kecil daun bawang,iris kecil memanjang--secukupnya Garam--secukupnya Lada/merica--secukupnya Gula pasir--Penyedap rasa secukupnya(boleh diskip)--300 ml air--Minyak untuk menggoreng--","Marinasi/rendam ikan dalam campuran bumbu marinasi selama 1/2- 1 jam.--Goreng ikan dalam minyak panas agak banyak sampai agak matang, karena ikan akan dimasak sebentar dalam bumbu asam manis.Jika kuah asam manis hanya disiram saja diatas ikan, goreng ikannya sampai matang.--Tumis bawang putih, bawang merah, beri air, masukkan wortel, saus tiram, kecap manis dan saus tomat, cabe merah, masak sampai wortel agak empuk.(kalau air kurang bisa ditambah).--Masukkan lada,garam,gula, daun bawang dan ikan goreng, koreksi rasa.Masak sampai kuah menyusut.--",/id/resep/4359785-ikan-mas-asam-manis
Tempe penyet hot,2 buah tempe--bumbu halus tempe goreng--2 siung bawang putih--secukupnya ketumbar--secukupnya garam--bumbu halus sambal--6 buah cabai merah besar--9 buah cabai rawit--4 siung bawang merah--3 siung bawang putih--secukupnya garam--secukupnya gula--1 bks trasi abc--secukupnya minyak untuk menggoreng--,"Haluskan bumbu halus tempe goreng lalu tambahkan air sedikit--Potong tempe sesuai selera lalu masuka ke dalam bumbu halus diamkan bbrapa saat lalu goreng hingga kecoklatan--Siapkan bumbu halus sambal lalu goreng bawang, cabai & trasi--Ulek sambal tambahkan gula, garam--Test rasa--Penyetkan tempe pada sambal--Sajikan selagi hangat--Selamat mencoba--",/id/resep/4039357-tempe-penyet-hot
Nasi goreng kebuli/kambing,2 buah bawang putih--2 buah bawang merah--sesuai selera cabe rawit merah/hijau--sesuai selera daging kambing yang sudah direbus--2 porsi sedanf nasi putih--1 sdt bumbu gulai siap pakai--secukupnya lada--secukupnya garam--1 sdm kecap manis--minyak goreng--,"Haluskan bawang putih, bawang merah, dan cabai dengan cara bisa diblender atau bisa juga di uleg biasa. Setelah sudah dihaluskan, sisihkan.--Masukan bumbu yang sudah dihaluskan ke dalam panci yang sudah ada minyak panas, tumis sebentar sampai bumbu terasa harum.--Masukan daging kambing yang sudah direbus, masak hingga kirakira sudah empuk. Masukan bumbu gulai siap pakai, aduk.--Masukan nasi putih, beserta kecap manis, garam, merica sesuai selera, lalu aduk rata.--Tambahkan tomat jika diperlukan, sajikan dengan timun sesuai selera.--",/id/resep/293587-nasi-goreng-kebulikambing
Sate simpel (kambing),"Daging kambing muda--secukupnya garam--secukupnya vetsin--secukupnya gulmer--secukupnya jahe--secukupnya cabe rawit--secukupnya  cabe merah--secukupnya  b.merah--secukupnya b.putih--secukupnya air--kecap--kacang halus--daun salam--sambal :--cabe rawit, rebus dan ulek sampai halus--secukupnya kacang tanah (goreng dan haluskan)--acar :--wortel--timun--cabe--b.merah (boleh tambah sedikit cuka)--tusuk sate--","Potong dadu daging, lalu tusuk2.. lalu oles2 bumbu sate yg udah d masak, bakar di atas pembakaran sate.--Haluskan bumbu, goreng sbentar sampai harum, beri air masukan gulmer, garam, vetsin, kacang halus, boleh pake daun salam..--Acar : potong dadu sayuran, kalau suka boleh tambahkan sedikir cuka--",/id/resep/1185808-sate-simpel-kambing
Gurame Asem Manis,"fillet Ikan Gurame (800 gr)--1 bh jeruk nipis--secukupnya Garam--1 bks Tepung serbaguna--Minyak Goreng--Bumbu Halus :--3 Siung Bawang Putih--5 Siung Bawang Merah--1 ruas jahe--Bahan Saus Asam Manis :--1/2 siung bawang Bombay (uk. Besar, iris memanjang)--1 buah Cabe Merah (uk. Besar, buang biji iris serong)--1 buah Wortel (iris serong)--1 buah tomat (iris memanjang)--10 sdm Saus Tomat--1 sdm Tp. Maizena (larutkan)--5 lbr Daun Jeruk--Bawang Daun (iris serong)--secukupnya air--secukupnya Minyak Goreng--secukupnya Garam--secukupnya Gula Pasir--","Cuci bersih fillet gurame, beri air perasan jeruk nipis dan taburi garam, aduk rata dan diamkan 10 menit--Setelah 10 menit, balur fillet gurame dengan tepung serbaguna hingga seluruh permukaan fillet tertutup tepung (agak ditekan sedikit), lalu goreng dan sisihkan--Membuat saus asam manis : blender bumbu halus, sisihkan. Panaskan minyak goreng tumis bumbu halus, bawang bombay dan cabe merah hingga harum, masukan wortel, tambahkan air sedikit aduk rata--Masukan saus tomat, daun jeruk tambahkan lagi air, masak hingga wortel empuk. Masukan irisan tomat dan daun bawang. Tambahkan garam dan gula tes rasa.--Sesaat sebelum diangkat masukan larutan maizena masak hingga meletup, angkat dan sajikan--Siram saus asam manis diatas fillet gurame yang sudah digoreng--",/id/resep/4036915-gurame-asem-manis
BEEF STEAK (ala desa),1/2 kg daging sapi (di presto dan potong tipis2)--2 kotak tahu (potong dan digoreng)--8 siung bawang putih--5 kemiri--1 sdt pala bubuk--1/2 sdt merica bubuk--Garam--Kecap (biasanya saya pakai kecap ikan bader)--Air--1 butir telur (dikocok)--,"Tumis bawang putih dan kemiri yang sudah dihaluskan hingga harum--Masukkan daging sapi agar bumbunya meresap--Masukkan air, tahu, merica bubuk, kecap, garam, pala bubuk & aduk hingga merata--Biarkan hingga mendidih--Masukkan telur yang sudah dikocok dan aduk hingga merata--Beef stick siap dihidangkan 😆--",/id/resep/3874486-beef-steak-ala-desa
Gulai Tahu Tempe,5 Potong Tempe--5 Potong Tahu--1 Paprika merah--1 Bawang merah/bombai--1 Bawang putih--Daun Bawang--Seledri--sesuai selera Santan--Secukupnya Garam--secukupnya Lada--1 buah cabai--secukupnya Kunyit--,"Goreng setengah matang tahu & tempe--Tumis bawang merah, bawang putih, paprika Sampai sedikit layu & harum--Masukkan Tahu & tempe lalu tumis serta tamvahkan lada, garam, daun bawang, seledri, santan, kunyit & cabai.--Masak sampai sedikit mendidih--",/id/resep/4199311-gulai-tahu-tempe
Bakso tempe,1/2 papan tempe--1 telor--5 sdm tepung tapioka--2 sdm terigu--Royco--Air--,Potong2 tempe kemudian rebus...setelh d rebus haluskan--Setelh halus campur kn telur dan rocyo kemudian beri air secukup ny...masukn terigu aduk terus kemudian tepung tapioka ny...aduk sampai tercampur--Didihkn air kemudian bulat bakso terus rebus...buat deh kuah bakso ny....--,/id/resep/4258814-bakso-tempe
Dori Fillet Teriyaki,2 fillet ikan dori--3 siung bawang putih--1 siung bawang bombay--1 batang daun bawang--2 sdm merica bubuk--Garam--Gula--Margarine--Bumbu Marinasi Ikan:--3 sdm saus teriyaki--2 sdm kecap manis--1 sdm kecap asin--,"Potong2 fillet ikan dori kemudian marinasi ikan dengan bumbu marinasi lalu diamkan minimal 15 menit--Masukkan margarine kemudian tumis bawang putih cincang dan bawang bombay tunggu hingga harum--Masukkan ikan yg telah dimarinasi, untuk teriyaki yg berkuah masukkan 1 sdm margarine kemudian masukkan 1 cup air dan tunggu hingga menyusut--Setelah air menyusut masukkan potongan daun bawang kemudian tunggu hingga layu.--Dori teriyaki siap disajikan!--",/id/resep/4302802-dori-fillet-teriyaki
Tongseng kambing suka-suka ;),"1/2 kg daging kambing--20 biji cabai merah--3 siung bawang putih--4 siung bawang merah--4 lbr daun jeruk purut--1 ruas jari lengkuas dan jahe--garam, gula, dan penyedap rasa--1 sachet kecap manis--minyak untuk menumis--","Rebus daging kambing kurleb 15 menit sampai empuk--Kemudian haluskan semua bumbu kecuali kecap, dan gula garam ( aku pakai blender biar cepet :D--Setelah daging kambing empuk iris tipis-tipis lalu sisihkan--Tumis bumbu halus tadi sampai harum. lalu, masukkan garam dan gula secukupnya dan TEST RASA !--Kemudian kecilkan api, dan masukkan daging kambing yang sudah di rebus dan di iris tadi--Aduk aduk sampai rata dan tambahkan penyedap rasa bergantian dengan kecap manis aduk kembali sampai rata--Masak daging kambing sampai matang dan bumbu meresap setelah matang angkat dan sajikan. taraaaa.. jadi deh--",/id/resep/953181-tongseng-kambing-suka-suka
Kombinasi labu siam telur ayam kuah santan,"1 Buah Labu Siam (Ukuran Besar)--4 Butir Telur Ayam--5 Buah Cabe Merah--2 Buah Cabe Rawit--3 Buah Cabe Rawit Setan--2 Buah Kunyit (Ukuran Kecil)--1 Siung Bawang Putih--1 Siung Bawang Merah--1 Bungkus Santan Bubuk (Kara)--3 Gelas Air (Gelas Belimbing)--Garam, royco dan gula pasir (Sesuai Selera)--","Rebus Telur Ayam, Kurang Lebih 15-20 Menit--Potong Potong Labu Siam Memanjang (Sebesar Korek Api) Lalu Cuci Bersih--Haluskan bawang, cabe, kunyit (Di ulek)--Tumis Bahan2 yang sudah di haluskan tadi, Tambahankan 3 Gelas Air, Masukan santan bubuk kara, aduk aduk sampai santan tercampur rata, tambhankan garam, royco dan sedikit gula. masukan labu siam nya, aduk aduk kurang lebih 2 menit, masukan rebusan telur ayam tadi. Aduk lagi kurang lebih 2 menit. Matikan kompor, selesai. Labu siam telur ayam kuah santan siap di santap.--",/id/resep/4364330-kombinasi-labu-siam-telur-ayam-kuah-santan
Abon Ikan Cakalang ala Bumil 😄😍,1 ekor ikan Cakalang Fufu/asar--4 bh Lemon ikan--5 btr cabe rawit--10 btr cabe merah--2 bh tomat kecil--8 btr bawang merah--5 btr bawang putih--4 sdm gula merah cair--Secukupnya garam--Secukupnya gula pasir--Minyak unk menggoreng--,"Cuci bersih ikan, kemudian disuwir-suwir, diberi perasan lemon dan garam sedikit. Sisihkan--Cuci bersih tomat, bawang merah, bawang putih, cabe rawit, cabe merah dan haluskan.--Panaskan minyak unk menggoreng ikan yg sudah disuwir. Goreng sampai kecoklatan dan tiriskan.--Gunakan secukupnya migor unk menumis saos sambal. Masukan bumbu yang sudah dihaluskan, tambahkan garam, gula putih dan gula merah.. aduk sampai airnya abis sisa minyakx sampe dirasa matang dan cek rasa. Dinginkan. NB: Bila ingin pedas cabe rawitnya bisa ditambah sesuai selera.--Ikan yg sdh digoreng dicampur dgn saos sambal yg sdh didinginkan kemudian angkat dan tiriskan lagi sampai minyaknya benar2 habis. Supaya abonnya tetap renyah dicampur saosnya harus dalam keadaan dingin 😊--Abon ikan cakalang pedas manis siap unk disantap dengan nasi panas, nasi dingin juga ok kok 😊 NB: Bisa disimpan dalam toples 😄--",/id/resep/2192569-abon-ikan-cakalang-ala-bumil-%F0%9F%98%84%F0%9F%98%8D
Ayam pop crispy + bakso sapi saus teriyaki 😁,"1/4 kg Dada ayam fillet, potong dadu--2 sachet tepung bumbu sasa--Bakso sapi yang sudah direbus matang (optional)--3 siung Bawang putih cincang--1 buah bawang bombay ukuran sedang, iris iris--1/2 buah tomat ukuran besar (optional)--secukupnya Daun bawang--secukupnya Lada bubuk--1 sachet saori saus teriyaki--2 sdm saus sambal--secukupnya Royco--secukupnya Air es--secukupnya Minyak goreng--","Untuk membuat ayam crispynya, pertama2 kita buat adonan basah dan adonan kering. Adonan basah terdiri dari 2sdm tepung sasa dengan 4sdm air es. (Kekentalan sesuai selera). Dan sisa dr tepungnya tadi kita taruh di wadah untuk adonan kering.--Masukkan ayam yang telah dipotong dadu tadi ke adonan basah, lalu masukkan ke adonan kering. Untuk menghasilnya kriwilan tepung yg banyak, tekan tekan saja ayam tadi diadonan keringnya. (Maaf ya bahasanya rada aneh😁)--Lalu kalau sudah semua, goreng di minyak yang sudah benar2 panas. Masak diapi sedang ya. Biar ayamnya benar2 matang.--Untuk sausnya, panaskan minyak di pan, masukan bawang putih, bawang bombay, tumis hingga harum. Lalu masukkan tomat.--Setelah semuanya layu dan harum masukkan saori saus teriyaki, saus sambal, dan lada bubuk. Beri sedikit kaldu bubuk biar sedap.--Setelah itu, matikan api. Dan masukkan ayam crispy tadi beserta bakso dan daun bawang. Aduk hingga tercampur rata.--Api dimatikan biar ayamnya tetap crispy gitu..--Oiya saya menyajikannya pakai nasi dan salad ala ala hokben gitu.. maknyossssss salad ala hokben menyusul ya hahaha--",/id/resep/4006715-ayam-pop-crispy-bakso-sapi-saus-teriyaki-%F0%9F%98%81
